17		Slave-owner								/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods
17		Attorney								/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods{2}
18		Slave-owner								/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods
18										/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods{2}
19		Slave-owner								/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods
19										/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods{2}
20		Slave-owner								/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods
20										/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods{2}
21		Slave-owner								/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods
21										/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods{2}
